Name                                               Project              Compat              Latest               Kind         Platform
----                                               -------              ------              ------               ----         --------
ab_glyph->ab_glyph_rasterizer                      0.1.10               ---                 Removed              Normal       ---
ab_glyph->owned_ttf_parser                         0.25.1               ---                 Removed              Normal       ---
accesskit_atspi_common->accesskit                  0.21.1               ---                 0.24.1               Normal       ---
accesskit_atspi_common->accesskit_consumer         0.31.0               ---                 0.36.0               Normal       ---
accesskit_atspi_common->atspi-common               0.9.0                ---                 0.13.0               Normal       ---
accesskit_atspi_common->thiserror                  1.0.69               ---                 Removed              Normal       ---
accesskit_atspi_common->zvariant                   5.10.0               5.12.0              5.12.0               Normal       ---
accesskit_consumer->accesskit                      0.21.1               ---                 0.24.1               Normal       ---
accesskit_consumer->hashbrown                      0.15.5               ---                 0.16.1               Normal       ---
accesskit_macos->accesskit                         0.21.1               ---                 0.24.1               Normal       ---
accesskit_macos->accesskit_consumer                0.31.0               ---                 0.37.0               Normal       ---
accesskit_macos->hashbrown                         0.15.5               ---                 0.16.1               Normal       ---
accesskit_unix->accesskit                          0.21.1               ---                 0.24.1               Normal       ---
accesskit_unix->accesskit_atspi_common             0.14.2               ---                 0.18.1               Normal       ---
accesskit_unix->atspi                              0.25.0               ---                 0.29.0               Normal       ---
accesskit_unix->zbus                               5.14.0               5.16.0              5.16.0               Normal       ---
accesskit_windows->accesskit                       0.21.1               ---                 0.24.1               Normal       ---
accesskit_windows->accesskit_consumer              0.31.0               ---                 0.35.0               Normal       ---
accesskit_windows->hashbrown                       0.15.5               ---                 0.16.1               Normal       ---
accesskit_windows->windows                         0.61.3               ---                 0.62.2               Normal       ---
accesskit_windows->windows-core                    0.61.2               ---                 0.62.2               Normal       ---
accesskit_winit->accesskit                         0.21.1               ---                 0.24.1               Normal       ---
accesskit_winit->accesskit_macos                   0.22.2               ---                 0.26.2               Normal       cfg(target_os = "macos")
accesskit_winit->accesskit_unix                    0.17.2               ---                 0.21.1               Normal       cfg(any(target_os = "linux", target_os = "dragonfly", target_os = "freebsd", target_os = "openbsd", target_os = "netbsd"))
accesskit_winit->accesskit_windows                 0.29.2               ---                 0.32.1               Normal       cfg(target_os = "windows")
ahash->once_cell                                   1.21.3               1.21.4              1.21.4               Normal       cfg(not(all(target_arch = "arm", target_os = "none")))
ahash->zerocopy                                    0.8.36               0.8.52              0.8.52               Normal       ---
android-activity->bitflags                         2.10.0               2.13.0              2.13.0               Normal       ---
android-activity->cc                               1.2.56               1.2.64              1.2.64               Build        ---
android-activity->cesu8                            1.1.0                Removed             Removed              Normal       ---
android-activity->jni                              0.21.1               0.22.4              0.22.4               Normal       ---
android-activity->jni-sys                          0.3.0                Removed             Removed              Normal       ---
android-activity->libc                             0.2.183              0.2.186             0.2.186              Normal       ---
android-activity->log                              0.4.29               0.4.32              0.4.32               Normal       ---
android-activity->thiserror                        1.0.69               2.0.18              2.0.18               Normal       ---
android_system_properties->libc                    0.2.183              0.2.186             0.2.186              Normal       ---
arboard->log                                       0.4.29               0.4.32              0.4.32               Normal       cfg(all(unix, not(any(target_os = "macos", target_os = "android", target_os = "emscripten"))))
arboard->windows-sys                               0.52.0               0.60.2              0.60.2               Normal       cfg(windows)
async-broadcast->event-listener                    5.4.1                ---                 Removed              Normal       ---
async-broadcast->event-listener-strategy           0.5.4                ---                 Removed              Normal       ---
async-broadcast->futures-core                      0.3.32               ---                 Removed              Normal       ---
async-broadcast->pin-project-lite                  0.2.17               ---                 Removed              Normal       ---
async-channel->concurrent-queue                    2.5.0                ---                 Removed              Normal       ---
async-channel->event-listener-strategy             0.5.4                ---                 Removed              Normal       ---
async-channel->futures-core                        0.3.32               ---                 Removed              Normal       ---
async-channel->pin-project-lite                    0.2.17               ---                 Removed              Normal       ---
async-executor->async-task                         4.7.1                ---                 Removed              Normal       ---
async-executor->concurrent-queue                   2.5.0                ---                 Removed              Normal       ---
async-executor->fastrand                           2.3.0                2.4.1               2.4.1                Normal       ---
async-executor->fastrand                           2.3.0                2.4.1               Removed              Normal       ---
async-executor->futures-lite                       2.6.1                ---                 Removed              Normal       ---
async-executor->pin-project-lite                   0.2.17               ---                 Removed              Normal       ---
async-executor->slab                               0.4.12               ---                 Removed              Normal       ---
async-io->autocfg                                  1.5.0                1.5.1               1.5.1                Build        ---
async-io->autocfg                                  1.5.0                1.5.1               Removed              Build        ---
async-io->cfg-if                                   1.0.4                ---                 Removed              Normal       ---
async-io->concurrent-queue                         2.5.0                ---                 Removed              Normal       ---
async-io->futures-io                               0.3.32               ---                 Removed              Normal       ---
async-io->futures-lite                             2.6.1                ---                 Removed              Normal       ---
async-io->parking                                  2.2.1                ---                 Removed              Normal       ---
async-io->polling                                  3.11.0               ---                 Removed              Normal       ---
async-io->rustix                                   1.1.4                ---                 Removed              Normal       ---
async-io->slab                                     0.4.12               ---                 Removed              Normal       ---
async-io->windows-sys                              0.61.2               ---                 Removed              Normal       cfg(windows)
async-lock->event-listener                         5.4.1                ---                 Removed              Normal       ---
async-lock->event-listener-strategy                0.5.4                ---                 Removed              Normal       ---
async-lock->pin-project-lite                       0.2.17               ---                 Removed              Normal       ---
